ENROLLMENT,TUITION PAYMENT MARCH 2022,TUITION PAYMENT MARCH 2023,GENDER,TYPE OF EDUCATIONAL INSTITUTION,EDUCATIONAL INSTITUTION,INSTITUTION STATUS,DEPARTMENT,PROVINCE,DISTRICT,CLASSIFICATION,CAMPUS,FACULTY,PROGRAM/MAJOR,SHIFT/SCHEDULE,BENEFIT DISCOUNTS,STUDY MODE,AGE RANGE OF ENROLLED STUDENT,DISABILITY,NUMBER OF ENROLLED COURSES,AT-RISK COURSE
0,0,0,1,INSTITUTO,SAN IGNACIO DE LOYOLA,PRIVADA,14,98,532,2,6,0,8,2,4,0,4,0,3,3
0,0,0,2,COLEGIO,7707 CRISTO REY,PRIVADA,14,98,137,1,6,0,9,2,4,0,0,0,5,5
0,0,0,1,,,,14,98,536,1,6,3,24,1,4,0,1,0,1,0
0,1,1,2,,20243,,14,28,483,1,6,7,29,1,4,0,0,0,2,2
0,1,1,1,,GERMAN POMALAZA RIXE,,11,160,238,1,6,6,36,1,4,0,2,0,1,1
0,0,0,1,,CATOLICA HIGH SCHOOL,,14,98,157,1,6,6,45,2,4,0,2,0,0,0
0,0,0,2,COLEGIO,COLEGIO GENERICO/EXTRANJERO,PRIVADA,14,98,543,2,6,0,75,1,4,0,3,0,0,0
0,0,0,2,COLEGIO,6038,ESTATAL,14,98,533,1,6,7,29,0,4,0,1,0,0,0
0,0,0,1,COLEGIO,1035 JOSE DEL CARMEN MARIN ARI,ESTATAL,14,98,308,3,6,3,26,1,4,0,3,0,3,0
0,1,0,1,INSTITUTO,ORSON WELLES,PRIVADA,14,98,352,1,6,6,46,2,4,0,4,0,3,3
0,1,0,1,INSTITUTO,IFB,PRIVADA,14,98,532,2,6,0,6,1,4,0,3,0,1,1
0,0,0,1,COLEGIO,FAP JOSE ABELARDO QUIÑONES,ESTATAL,14,98,573,1,6,6,40,2,4,0,0,0,3,0
0,0,0,2,COLEGIO,7064 MARIA AUXILIADORA,ESTATAL,14,98,137,2,6,0,8,1,4,0,3,0,2,0
0,0,0,2,COLEGIO,TERESA DE LOS REYES,PRIVADA,14,98,540,1,6,7,29,2,4,0,3,0,3,0
0,1,1,2,COLEGIO,INGENIERIA,PRIVADA,6,24,51,1,6,0,10,2,4,0,0,0,2,0
0,0,0,1,,FUERZA,,14,98,573,1,6,5,30,2,4,0,4,0,3,0
0,0,0,2,,JOSE MANUEL MEZA,,10,111,186,1,6,2,19,2,4,0,0,0,3,0
0,1,1,1,COLEGIO,20325 SAN JOSE DE MANZANARES,ESTATAL,14,81,205,3,6,3,26,1,4,0,2,0,1,1
0,0,0,2,COLEGIO,TUPAC AMARU,ESTATAL,14,98,536,1,6,0,1,2,4,0,0,0,4,0
0,0,0,1,COLEGIO,SAN JUAN,ESTATAL,12,153,636,1,6,6,57,1,4,0,0,0,3,0
0,0,0,1,INSTITUTO,LA UNIVERSIDAD,PRIVADA,14,98,182,3,6,3,26,1,4,2,4,0,1,0
0,0,0,2,COLEGIO,GLORIOSOS HUSARES DE JUNIN,ESTATAL,14,98,182,3,6,6,43,0,4,0,4,0,0,0
0,0,0,2,,Zegel,,14,98,540,3,6,0,2,1,4,0,4,0,3,0
0,0,0,1,COLEGIO,REINO DE LOS CIELOS,PRIVADA,14,98,540,1,6,6,45,2,4,0,2,0,0,0
0,0,0,2,COLEGIO,MARISCAL CACERES,ESTATAL,14,98,402,1,6,0,4,2,4,0,1,0,0,0
0,1,1,1,,UNIVERSIDADCONTINENTALSOCIED,,11,73,191,1,6,6,48,2,4,0,3,0,3,0
0,0,0,2,,SERVICIO EDUCATIVO EMPRESARIAL,,14,98,137,2,6,0,12,1,4,0,2,0,3,0
0,1,1,1,COLEGIO,SANTA ISABEL,PRIVADA,14,98,461,1,6,5,16,2,4,0,1,0,1,1
0,0,0,2,INSTITUTO,IDAT,PRIVADA,14,98,532,3,6,0,2,2,4,2,4,0,0,0
0,1,1,2,COLEGIO,VIRGEN DEL CARMEN,PRIVADA,14,98,144,1,6,0,1,1,4,0,0,0,3,0
0,1,1,2,,20037 SANTISIMA CRUZ,,14,98,536,1,6,4,78,0,4,0,4,0,3,0
0,0,0,2,,,,14,98,325,1,6,7,77,1,4,0,3,0,3,0
0,1,1,2,INSTITUTO,SISE (FORMACION EDUCATIVA),PRIVADA,14,98,560,1,6,1,17,2,4,0,2,0,2,0
0,0,0,1,,CRISTIANO PERUANO AMERICANO,,14,98,659,2,6,5,68,0,4,0,1,0,0,0
0,1,1,1,,POLICIA,,14,98,309,3,6,3,26,1,4,2,4,0,3,0
0,0,0,1,,GUILLERMO E BILLINGHURST,,14,98,461,2,6,3,25,1,4,0,4,0,3,3
0,0,0,1,COLEGIO,PNP TUPAC AMARU,ESTATAL,14,98,308,1,6,1,17,0,4,0,0,0,0,0
0,0,0,1,COLEGIO,LUZ CASANOVA,PRIVADA,14,98,54,3,6,3,26,1,4,2,4,0,2,2
0,0,0,2,COLEGIO,CRISTO REY,PRIVADA,14,98,54,3,6,3,26,1,4,2,4,0,3,3
0,1,1,2,INSTITUTO,RICARDO PALMA,PRIVADA,14,98,573,1,6,7,82,2,4,0,3,0,3,0
0,0,0,2,COLEGIO,GRAN UNIDAD ESCOLAR LEONCIO PR,ESTATAL,9,75,225,1,6,7,82,0,4,0,0,0,0,0
0,0,0,2,COLEGIO,LICEO MODERNO,PRIVADA,14,98,288,1,6,7,82,2,4,0,4,0,3,0
0,1,1,2,COLEGIO,HERMANO SAN FRANCISCO,PRIVADA,14,98,532,1,6,7,77,1,4,0,0,0,1,0
0,1,1,1,COLEGIO,MILITAR LEONCIO PRADO,ESTATAL,14,98,295,1,6,6,40,2,4,0,1,0,2,0
0,1,1,2,COLEGIO,NELIDA LEIVA TORRES,PRIVADA,14,98,324,1,6,7,29,1,4,0,1,0,3,0
0,1,1,1,COLEGIO,3704 SAN COLUMBANO,PRIVADA,6,24,68,1,6,6,40,1,4,0,0,0,3,0
